url,scrape_time,idx,title,local_area_name,pricing_indicative,about,address,cadastreinfo_part,key_info,pricing_details,facilities
https://www.finn.no/realestate/homes/ad.html?finnkode=354272587,2024-05-26 19:44:16,354272587,Nyere rekkehus fra 2019 med fantastiske fellesområder! | Solcelle på tak | Carport | Lave strømkostnader | 3 soverom |,Ski,5 650 000 kr,"Om boligenVelkommen til Furumogrenda 51 - et energieffektiv, moderne og stilig rekkehus med hage, carport og solcellepanel på taket! Rekkehuset kan skilte med en stor, sydvendt terrasse på 13kvm direkte fra stuen og med tilgang til grøntarealer. Inne fremstår rekkehuset med stilrene farge- og materialvalg. Her er det en luftig stue med åpen løsning mot et praktisk og moderne kjøkken. Videre har boligen i 2.etasje et romslig og moderne bad og tre soverom samt 2,7m takhøyde. Furumo er et av Skis fineste områder. Dette er et eldorado for barnefamilier med lekeplasser, fotball-løkke og zip-line plassert på tunet mellom boligene. På Furumo bor du i skogkanten med turløyper og natur rett utenfor dørstokken, og med nærhet til barnehager, skole, by og kulturliv. Her kan du flytte rett inn og trives fra dag en!Minus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Furumogrenda 51, 1400 Ski",Leilighetsnr: 42Kommunenr: 3207Gårdsnr: 115Bruksnr: 35Seksjonsnr: 7,"{'Boligtype': 'Rekkehus', 'Eieform': 'Eier (Selveier)', 'Soverom': '3', 'Internt bruksareal': '87 m² (BRA-i)', 'Bruksareal': '92 m²', 'Eksternt bruksareal': '5 m² (BRA-e)', 'Balkong/Terrasse': '13 m² (TBA)', 'Byggeår': '2019', 'Energimerking': 'B - Oransje', 'Tomteareal': '90 m² (eiet)', 'Boligselgerforsikring': 'Ja'}","{'Totalpris': '5\xa0811\xa0750 kr', 'Omkostninger': '161\xa0750 kr', 'Felleskost/mnd.': '1\xa0400 kr', 'Kommunale avg.': '13\xa0003 kr per år', 'Formuesverdi': '1\xa0375\xa0000 kr'}",Balkong/TerrassePeis/IldstedParkettBarnevennligRoligModerneSentraltGarasje/P-plassOffentlig vann/kloakkLademulighet
https://www.finn.no/realestate/homes/ad.html?finnkode=354561932,2024-05-26 19:44:17,354561932,Stor 3-roms selveier med ettertraktet beliggenhet I 2 flotte balkonger I Vedovn I Generøs takhøyde I Lave f.kostnader,# MAJORSTUEN,10 990 000 kr,"Om boligenVi har for salg en stor 3-roms med fantastisk og sentral beliggenhet på Majorstuen! Selveierleiligheten ligger i 4. etasje i flott, klassisk bygård med sjarmerende forhage. Planløsningen er gjennomgående og store vindusflater åpner opp og slipper lyset inn. Rommene har en god størrelse og er enkle å møblere.  I stuen sørger vedovnen for å gjøre det ekstra lunt og koselig på kaldere dager. Nå som sommeren er her er det fantastisk å ha en balkong til frokostsolen og en balkong til for ettermiddags- og kveldssolen. Felleskostnadene er lave og det er ingen forkjøpsrett.  I dette hjemmet bor du rett i nærheten av alt hovedstaden kan by på, men beliggenheten er skjermet, rolig og barnevennlig.  To balkongerVedovnGjennomgående planløsningStort baderom + ekstra toalettNydelig klassisk bygård m. forhageMinus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Jacob Aalls gate 38B, 0364 Oslo",Kommunenr: 301Gårdsnr: 215Bruksnr: 143Seksjonsnr: 16,"{'Boligtype': 'Leilighet', 'Eieform': 'Eier (Selveier)', 'Soverom': '2', 'Internt bruksareal': '88 m² (BRA-i)', 'Bruksareal': '101 m²', 'Eksternt bruksareal': '13 m² (BRA-e)', 'Balkong/Terrasse': '7 m² (TBA)', 'Etasje': '4', 'Byggeår': '1913', 'Energimerking': 'G - Oransje', 'Rom': '3', 'Tomteareal': '1\xa0176 m² (eiet)'}","{'Totalpris': '11\xa0288\xa0588 kr', 'Omkostninger': '285\xa0588 kr', 'Fellesgjeld': '13\xa0000 kr', 'Felleskost/mnd.': '3\xa0031 kr', 'Fellesformue': '19\xa0548 kr', 'Formuesverdi': '2\xa0192\xa0624 kr'}",Balkong/TerrassePeis/IldstedParkettBarnevennligRoligKabel-TVModerneSentraltOffentlig vann/kloakkVaktmester-/vektertjenesteBredbåndstilknytning
https://www.finn.no/realestate/homes/ad.html?finnkode=301642481,2024-05-26 19:44:19,301642481,Ny 4-roms leilighet | 3. etg | vest-vendt balkong | Eget vaskerom | Heis | Estimert ferdigstilt ca høsten 24,Øvre Nyhavna,6 725 000 kr,"Om boligenØvre Nyhavna - Herlig 4-roms leilighet med fantastisk vestvendt beliggenhet!  Sentralt med kort vei til fantastiske turområder og korte avstander til sentrumsområder.  Estimert overtagelse ca høsten 2024  Leiligheten selges etter ""førstemann til mølla"" prinsippet   Verdt å merke seg:  - Romslig balkong med vest-vendt beliggenhet -Store vindusflater på stue/kjøkken sørger for herlig belysning -Kjøkken levert av kvalitets leverandøren HTH -3 soverom  - Bad + eget vaskerom -Lave bokostnader -Lave kjøpsomkostninger -Mulighet for parkering i oppvarmet p-kjeller   Ta kontakt med megler for gjennomgang av leiligheten og prosjektet!Minus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Øvre Nyhavna 5 E1-3-02, 7040 Trondheim",Kommunenr: 5001Gårdsnr: 414Bruksnr: 307,"{'Boligtype': 'Leilighet', 'Eieform': 'Eier (Selveier)', 'Soverom': '3', 'Primærrom': '80 m²', 'Bruksareal': '85 m²', 'Etasje': '3', 'Byggeår': '2024', 'Rom': '4', 'Tomt': 'Eiet'}","{'Omkostninger': '35\xa0342 kr', 'Felleskost/mnd.': '2\xa0749 kr'}",
https://www.finn.no/realestate/homes/ad.html?finnkode=354561860,2024-05-26 19:44:21,354561860,"Rålekker 3-roms selveier med solrik balkong og parkeringsplass | Heis | Sentralt | Kort vei til ""alt"" | Rehab. 2020",,7 900 000 kr,"Om boligenVelkommen til Grefsenveien 48b - Rålekker 3-roms leilighet med god intern beliggenhet i 4.etasje med fint utsyn og gode solforhold. Leiligheten inneholder følgende: Entré, bad, 2 soverom, omkledningsrom, stue og kjøkken med spiseplass. Videre medfølger parkeringsplass og bod i kjeller. Leiligheten ligger attraktivt på Storo med enkel adkomst til det meste av bymessige fasiliteter. Her er det gangavstand til både treningssenter, matvarebutikk, restaurant, kollektivtrafikk m.m.   Verdt å vite: Rehabilitert i 2020Solrik balkong på ca. 7m²Dansk design kjøkken m/ eksklusiv hvitevarerFransk balkong på kjøkkenBad fra 2018 m/ varmekablerV.V/fyring og Kabel-TV er ink.Kjellerbod på 4m²HeisadkomstGarasjeplass nr. 13Gangavstand til Storo, Nydalen, Torshov og GrünerløkkaKort vei til t-banen - ca. 50 meterMinus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Grefsenveien 48b, 0485 Oslo",Kommunenr: 301Gårdsnr: 76Bruksnr: 1Seksjonsnr: 21,"{'Boligtype': 'Leilighet', 'Eieform': 'Eier (Selveier)', 'Soverom': '2', 'Internt bruksareal': '78 m² (BRA-i)', 'Bruksareal': '82 m²', 'Eksternt bruksareal': '4 m² (BRA-e)', 'Balkong/Terrasse': '7 m² (TBA)', 'Etasje': '4', 'Byggeår': '1996', 'Rom': '3', 'Tomteareal': '3\xa0171 m² (eiet)', 'Boligselgerforsikring': 'Ja'}","{'Totalpris': '8\xa0245\xa0524 kr', 'Omkostninger': '211\xa0720 kr', 'Fellesgjeld': '133\xa0804 kr', 'Felleskost/mnd.': '4\xa0983 kr', 'Fellesformue': '12\xa0978 kr', 'Formuesverdi': '1\xa0779\xa0977 kr'}",Balkong/TerrasseParkettHeisIngen gjenboereBarnevennligRoligKabel-TVModerneSentraltGarasje/P-plassOffentlig vann/kloakkUtsiktVaktmester-/vektertjenesteBredbåndstilknytningLademulighet
https://www.finn.no/realestate/homes/ad.html?finnkode=354561628,2024-05-26 19:44:22,354561628,"Sjarmerende enebolig i populære Grønlia. Solrike uteplasser. Garasje. Nærhet til tog, skoler og barnehager.",Fjellhamar,7 200 000 kr,"Om boligenVelkommen til Grønligrenda 39. En enebolig over 2 plan, oppført i 1985 hvor flere originale detaljer er bevart. Det er dog behov for noe modernisering og oppussing. Det er tilgang til flere uteplasser med gode solforhold. Attraktiv og barnevennlig beliggenhet i et etablert villastrøk i Grønlia. Det er kort gangavstand til Fjellhamar Torg, togstasjon, barnehager, skoler og gode turmuligheter i marka.  Verdt å merke seg: Terrasse på 55 kvmVinterhageStue med tilhørende spisestuePeis i stueRomslig kjøkken med mye skap- og benkeplass1 bad, separat toalett og 3 romslige soveromLagringsloft og kottGarasjeMinus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Grønligrenda 39, 1464 Fjellhamar",Kommunenr: 3222Gårdsnr: 107Bruksnr: 2214,"{'Boligtype': 'Enebolig', 'Eieform': 'Eier (Selveier)', 'Soverom': '3', 'Internt bruksareal': '169 m² (BRA-i)', 'Bruksareal': '220 m²', 'Eksternt bruksareal': '51 m² (BRA-e)', 'Balkong/Terrasse': '55 m² (TBA)', 'Byggeår': '1985', 'Energimerking': 'E - Gul', 'Rom': '4', 'Tomteareal': '454 m² (eiet)'}","{'Totalpris': '7\xa0381\xa0500 kr', 'Omkostninger': '181\xa0500 kr', 'Felleskost/mnd.': '700 kr', 'Kommunale avg.': '28\xa0221 kr per år', 'Formuesverdi': '2\xa0204\xa0733 kr'}",Balkong/TerrassePeis/IldstedParkettIngen gjenboereBarnevennligRoligKabel-TVSentraltGarasje/P-plassTurterrengOffentlig vann/kloakkBredbåndstilknytningLademulighet
https://www.finn.no/realestate/homes/ad.html?finnkode=321493514,2024-05-26 19:44:24,321493514,Koselig 3-roms i 2. etasje med garasje. Sentral beliggenhet!,Sagbakken,2 750 000 kr,"Om boligenVelkommen til Andreas Markussons vei 7!  Delikat 3-roms andelsleilighet i et lite og veldrevet borettslag. Leiligheten ligger i andre etasje og fremstår som tiltalende og moderne med en praktisk planløsning. Fra stuen er det adkomst til veranda med gode solforhold. Med leiligheten følger det egen garasje beliggende i rekke.   I leiligheten er det store vindusflater som gir en gjennomgående lys atmosfære. Leiligheten har to flotte soverom, et kjøkken, et utvidet baderom og stor stue med god plass til både spisegruppe og sofakrok. I tillegg følger det med innredet rom på loft, tidligere benyttet som hybel. Her er også tilgang på felles toalett.   Leiligheten ligger sentralt til med kort vei til alt man skulle trenge av servicefasiliteter. I umiddelbar nærhet finner man blant annet barnehage, skoler, dagligvarebutikker samt Sagbakken stadion, Moheia idrettspark og flotte turområder som Klokkerhagen.   Vi sees på visning!Minus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Andreas Markussons vei 7, 8626 Mo i Rana",Kommunenr: 1833Gårdsnr: 20Bruksnr: 65Festenr: 704Borettslag-navn: Jernverksarbeidernes Selvbyggerlag 1 BRLBorettslag-orgnummer: 866180032Borettslag-andelsnummer: 4,"{'Boligtype': 'Leilighet', 'Eieform': 'Andel', 'Soverom': '2', 'Primærrom': '76 m²', 'Bruksareal': '76 m²', 'Etasje': '2', 'Byggeår': '1953', 'Energimerking': 'G - Oransje', 'Rom': '3', 'Tomteareal': '4\xa0210 m²'}","{'Totalpris': '2\xa0903\xa0475 kr', 'Omkostninger': '1\xa0000 kr', 'Fellesgjeld': '152\xa0475 kr', 'Felleskost/mnd.': '5\xa0933 kr', 'Fellesformue': '21\xa0545 kr', 'Formuesverdi': '633\xa0560 kr'}",
https://www.finn.no/realestate/homes/ad.html?finnkode=354536058,2024-05-26 19:44:27,354536058,Idyllisk småbruk med vidstrakt utsikt. To boenheter. Båtplass. 2 store drivhus. Flere teiger. Mange muligheter!,Hulebakk,8 990 000 kr,"Om boligenEt utrolig sjarmerende og idyllisk småbruk i naturskjønne omgivelser med nærhet til sjøen.  Boligen er en hel vertikaldelt tomannsbolig som gir mulighet for utleie, genrasjonsbolig eller for storfamilien.   Boligen er meget innholdsrik og har både finurlige, sjarmerende og smarte løsninger. Flytt rett inn samtidig som du har moderniseringsmuligheter.  2 store veksthus er laget for dyrking rett i jorda, et med manuelt overrislingsanlegg. 3 store gamle drueplanter som dekker store deler av taket gir fantastiske druer. Drivhuset fungerer også som utestue med plass til flere sittegrupper hvor man kan nyte resultatet av druene.  Inngjerdet sauebeite, rips- og solbærbusker og mulighet for fruktskog.  Flere teiger og inntekter fra utleie. Fast båtplass! Dobbeltboligforsikring tegnet. Velkommen!Minus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Hulebakveien 32A, 3145 Tjøme",Kommunenr: 3911Gårdsnr: 220Bruksnr: 1,"{'Boligtype': 'Gårdsbruk/Småbruk', 'Eieform': 'Eier (Selveier)', 'Soverom': '5', 'Internt bruksareal': '291 m² (BRA-i)', 'Bruksareal': '291 m²', 'Balkong/Terrasse': '19 m² (TBA)', 'Etasje': '2', 'Byggeår': '1900', 'Energimerking': 'G - Oransje', 'Tomteareal': '88\xa0662 m² (eiet)'}","{'Totalpris': '9\xa0215\xa0990 kr', 'Omkostninger': '225\xa0990 kr', 'Kommunale avg.': '39\xa0076 kr per år', 'Formuesverdi': '858\xa0623 kr'}",Balkong/TerrasseBarnevennligBåtplassGolfbaneHageKjæledyr tillattOffentlig vann/kloakkParkettPeis/IldstedRoligUtsiktUtvidelsesmuligheterBademulighetFiskemulighetTurterreng
https://www.finn.no/realestate/homes/ad.html?finnkode=354561126,2024-05-26 19:44:28,354561126,2- roms selveier på sjarmerende Tonsenhagen. Oppussingsobjekt med stort potenisal. Balkong med fin skjermet beliggenhet.,Tonsenhagen,3 300 000 kr,"Om boligenVelkommen til Selvbyggerveien 161, presentert av Catharina Malonæs i OBOS eiendomsmeglere. 2- roms selveier beliggende på sjarmerende og populære Tonsenhagen. Området utmerker seg med flott beliggenhet rett ved marka, og samtidig kort vei til byen. Området er veletablert med godt bomiljø og barnevennlige omgivelser. Leiligheten er gjennomgående og ligger i øverste etasje. Terrenget på baksiden er bestående av busker og trær og man sitter usjenert og skjermet på balkongen. Leiligheten har gjennomgående behov for oppussing. Kort fortalt: -2 -roms selveier -Herlig balkong med gode solforhold -Sentralt og populært beliggende på Tonsenhagen -Fyring/varmtvann inkl. via a-konto -2 boder -Fellesvaskeri -Kort vei til sentrum, butikker, marka og kollektivt - Hyggelig og rolig nærområde Velkommen til Visning!Minus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Selvbyggerveien 161, 0591 Oslo",Leilighetsnr: 13Kommunenr: 301Gårdsnr: 85Bruksnr: 123Seksjonsnr: 13,"{'Boligtype': 'Leilighet', 'Eieform': 'Eier (Selveier)', 'Soverom': '1', 'Internt bruksareal': '52 m² (BRA-i)', 'Bruksareal': '61 m²', 'Eksternt bruksareal': '9 m² (BRA-e)', 'Balkong/Terrasse': '5 m² (TBA)', 'Etasje': '4', 'Byggeår': '1955', 'Energimerking': 'G - Mørkegrønn', 'Rom': '2', 'Tomt': 'Eiet'}","{'Totalpris': '3\xa0456\xa0468 kr', 'Omkostninger': '96\xa0468 kr', 'Fellesgjeld': '60\xa0000 kr', 'Felleskost/mnd.': '4\xa0151 kr', 'Fellesformue': '23\xa0183 kr', 'Formuesverdi': '1\xa0027\xa0797 kr'}",
https://www.finn.no/realestate/homes/ad.html?finnkode=325441891,2024-05-26 19:44:29,325441891,Nydelig 3-roms på taket av det nye senteret | 3. etg | Balkong på 15kvm |5 år garanti | Heis | Lave felleskostnader,Melhustorget,3 200 000 kr,"Om boligenVelkommen taket av Melhustorget - Nybygd 3-roms leilighet i 3. etasje!  Med beliggenhet i hjertet av Melhus sentrum har du kort vei til butikker, kollektivforbindelse, treningssenter, matbutikker og flott turområdet. Her har du muligheten til å bo i et nytt, moderne og populært prosjekt med meget sentral beliggenhet. Det legges med andre ord opp til en enkel hverdag med direkte nærhet til alt man måtte trenge!  Estimert ferdigstillelse sommeren 2024, seneste overtagelse 02.08.2024  Med denne leiligheten vil du nyte kvaliteter slik som:  - 5 års garanti - Romslig balkong på hele 15kvm - 2 soverom - Kjøkken og baderomsinnredning fra kvalitetsleverandøren HTH - Frontene på kjøkken er oppgradert i fargen Stockholm - Benkeplate på kjøkken er oppgradert i fargen sandstein - Dørvridere i leiligheten er oppgradert i fargen Hitra sort - Mulighet for å kjøpe parkeringsplass i parkeringskjeller - Lave bokostnader og kjøpsomkostninger  Kontakt megler for visning/gjennomgang av prosjektetMinus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Melhusvegen 472 C-308, 7221 Melhus",,"{'Boligtype': 'Leilighet', 'Eieform': 'Eier (Selveier)', 'Soverom': '2', 'Primærrom': '51 m²', 'Bruksareal': '55 m²', 'Etasje': '3', 'Byggeår': '2024', 'Rom': '3', 'Tomt': 'Eiet'}","{'Omkostninger': '23\xa0242 kr', 'Felleskost/mnd.': '2\xa0711 kr'}",Balkong/TerrasseBarnevennligBredbåndstilknytningHeisKabel-TVOffentlig vann/kloakkSentraltBalansert ventilasjon
https://www.finn.no/realestate/homes/ad.html?finnkode=354538203,2024-05-26 19:44:31,354538203,Meget pen 3-roms endeleilighet med stor solrik markterrasse og hagedel - Garasjeplass m/lader - Fyring/varmtvann inkl.,Løren,7 000 000 kr,"Om boligenJan Gunnar Grunden v/ EIE Løren ønsker velkommen til Gildevangen 6!   Dette er en flott og meget innbydende 3-roms endeleilighet. Leiligheten er gjennomgående og består av entré, åpen stue- og kjøkkenløsning, to romslige soverom, flislagt bad og en praktisk bod. Fra stuen er det utgang til en meget idyllisk og flott uteplass. Her er det markterrasse på ca. 24 kvm og en stor, privat hagedel på ca. 45 kvm. Uteplassen er sydvestvendt så her kan solen nytes gjennom store deler av dagen på solfylte vår- og sommerdag!   Her bor du sentralt til på Løren med umiddelbar nærhet til Løren T-banestasjon, samt en rekke butikker og servicetilbud. Det er i tillegg kort vei til skoler og barnehager.   Verdt å merke seg:  - Moderne fargevalg og nytt gulv fra 2023.  - Store vindusflater og lys inn fra to sider i stuen.  - Gasspeis i stuen.  - A-konto fyring og varmtvann er inkl. i fellesutgiftene. - Garasjeplass m/lader.  - Bygg fra 2014.  - Kjellerbod på ca. 5 kvm.Minus Vis mindreNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.Pluss Vis hele beskrivelsenNB: Knappen for å vise hele beskrivelsen har kun en visuell effekt.","Gildevangen 6, 0585 Oslo",Kommunenr: 301Gårdsnr: 124Bruksnr: 134Seksjonsnr: 68Borettslag-andelsnummer: 0,"{'Boligtype': 'Leilighet', 'Eieform': 'Eier (Selveier)', 'Soverom': '2', 'Internt bruksareal': '73 m² (BRA-i)', 'Bruksareal': '78 m²', 'Eksternt bruksareal': '5 m² (BRA-e)', 'Balkong/Terrasse': '24 m² (TBA)', 'Etasje': '1', 'Byggeår': '2014', 'Energimerking': 'C - Mørkegrønn', 'Rom': '3', 'Tomteareal': '11\xa0347 m² (eiet)'}","{'Totalpris': '7\xa0186\xa0510 kr', 'Omkostninger': '185\xa0510 kr', 'Fellesgjeld': '1\xa0000 kr', 'Felleskost/mnd.': '4\xa0747 kr', 'Fellesformue': '17\xa0260 kr', 'Formuesverdi': '1\xa0747\xa0875 kr'}",BarnevennligBalkong/TerrasseGarasje/P-plassKabel-TVHeisOffentlig vann/kloakkIngen gjenboerePeis/IldstedTurterrengVaktmester-/vektertjenesteSentraltBredbåndstilknytningModerneRoligLademulighetBalansert ventilasjon
